load_nm,condition,severity,severity_level,is_fault,file_id,vibration_path,current_temp_path,acoustic_path
0,Unbalance,0583mg,1,True,0Nm_Unbalance_0583mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Unbalance_0583mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Unbalance_0583mg.tdms",
0,Unbalance,1169mg,2,True,0Nm_Unbalance_1169mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Unbalance_1169mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Unbalance_1169mg.tdms",
0,Unbalance,1751mg,3,True,0Nm_Unbalance_1751mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Unbalance_1751mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Unbalance_1751mg.tdms",
0,Unbalance,2239mg,4,True,0Nm_Unbalance_2239mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Unbalance_2239mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Unbalance_2239mg.tdms",
0,Unbalance,3318mg,5,True,0Nm_Unbalance_3318mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Unbalance_3318mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Unbalance_3318mg.tdms",
2,BPFI,03,1,True,2Nm_BPFI_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_BPFI_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_BPFI_03.tdms",
2,BPFI,10,2,True,2Nm_BPFI_10,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_BPFI_10.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_BPFI_10.tdms",
2,BPFI,30,3,True,2Nm_BPFI_30,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_BPFI_30.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_BPFI_30.tdms",
2,BPFO,03,1,True,2Nm_BPFO_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_BPFO_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_BPFO_03.tdms",
2,BPFO,10,2,True,2Nm_BPFO_10,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_BPFO_10.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_BPFO_10.tdms",
2,BPFO,30,3,True,2Nm_BPFO_30,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_BPFO_30.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_BPFO_30.tdms",
2,Misalign,01,1,True,2Nm_Misalign_01,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Misalign_01.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Misalign_01.tdms",
2,Misalign,03,2,True,2Nm_Misalign_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Misalign_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Misalign_03.tdms",
2,Misalign,05,3,True,2Nm_Misalign_05,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Misalign_05.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Misalign_05.tdms",
2,Normal,,0,False,2Nm_Normal,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Normal.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Normal.tdms",
2,Unbalance,0583mg,1,True,2Nm_Unbalalnce_0583mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Unbalalnce_0583mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Unbalance_0583mg.tdms",
2,Unbalance,1169mg,2,True,2Nm_Unbalalnce_1169mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Unbalalnce_1169mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Unbalance_1169mg.tdms",
2,Unbalance,1751mg,3,True,2Nm_Unbalalnce_1751mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Unbalalnce_1751mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Unbalance_1751mg.tdms",
2,Unbalance,2239mg,4,True,2Nm_Unbalalnce_2239mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Unbalalnce_2239mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Unbalance_2239mg.tdms",
2,Unbalance,3318mg,5,True,2Nm_Unbalalnce_3318mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\2Nm_Unbalalnce_3318mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\2Nm_Unbalance_3318mg.tdms",
4,BPFI,03,1,True,4Nm_BPFI_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_BPFI_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_BPFI_03.tdms",
4,BPFI,10,2,True,4Nm_BPFI_10,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_BPFI_10.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_BPFI_10.tdms",
4,BPFI,30,3,True,4Nm_BPFI_30,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_BPFI_30.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_BPFI_30.tdms",
4,BPFO,03,1,True,4Nm_BPFO_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_BPFO_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_BPFO_03.tdms",
4,BPFO,10,2,True,4Nm_BPFO_10,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_BPFO_10.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_BPFO_10.tdms",
4,BPFO,30,3,True,4Nm_BPFO_30,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_BPFO_30.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_BPFO_30.tdms",
4,Misalign,01,1,True,4Nm_Misalign_01,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Misalign_01.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Misalign_01.tdms",
4,Misalign,03,2,True,4Nm_Misalign_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Misalign_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Misalign_03.tdms",
4,Misalign,05,3,True,4Nm_Misalign_05,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Misalign_05.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Misalign_05.tdms",
4,Normal,,0,False,4Nm_Normal,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Normal.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Normal.tdms",
4,Unbalance,0583mg,1,True,4Nm_Unbalance_0583mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Unbalance_0583mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Unbalance_0583mg.tdms",
4,Unbalance,1169mg,2,True,4Nm_Unbalance_1169mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Unbalance_1169mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Unbalance_1169mg.tdms",
4,Unbalance,1751mg,3,True,4Nm_Unbalance_1751mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Unbalance_1751mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Unbalance_1751mg.tdms",
4,Unbalance,2239mg,4,True,4Nm_Unbalance_2239mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Unbalance_2239mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Unbalance_2239mg.tdms",
4,Unbalance,3318mg,5,True,4Nm_Unbalance_3318mg,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\4Nm_Unbalance_3318mg.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\4Nm_Unbalance_3318mg.tdms",
